	Month	Weekday	Hour	Temp	Rain	zipcode	count
406	4	1	3	41.0	0.0	10006	1
407	4	1	3	41.0	0.0	10007	16
408	4	1	3	41.0	0.0	10009	118
409	4	1	3	41.0	0.0	10010	52
410	4	1	3	41.0	0.0	10011	238
411	4	1	3	41.0	0.0	10012	100
412	4	1	3	41.0	0.0	10013	65
413	4	1	3	41.0	0.0	10014	94
414	4	1	3	41.0	0.0	10016	62
415	4	1	3	41.0	0.0	10017	65
416	4	1	3	41.0	0.0	10018	44
417	4	1	3	41.0	0.0	10019	174
418	4	1	3	41.0	0.0	10020	1
419	4	1	3	41.0	0.0	10021	29
420	4	1	3	41.0	0.0	10022	91
421	4	1	3	41.0	0.0	10023	30
422	4	1	3	41.0	0.0	10024	33
423	4	1	3	41.0	0.0	10025	36
424	4	1	3	41.0	0.0	10026	10
425	4	1	3	41.0	0.0	10027	27
426	4	1	3	41.0	0.0	10028	26
427	4	1	3	41.0	0.0	10029	33
428	4	1	3	41.0	0.0	10030	7
429	4	1	3	41.0	0.0	10031	18
430	4	1	3	41.0	0.0	10032	10
431	4	1	3	41.0	0.0	10033	4
432	4	1	3	41.0	0.0	10034	4
433	4	1	3	41.0	0.0	10035	30
434	4	1	3	41.0	0.0	10036	124
435	4	1	3	41.0	0.0	10037	27
436	4	1	3	41.0	0.0	10038	17
437	4	1	3	41.0	0.0	10039	4
438	4	1	3	41.0	0.0	10040	3
439	4	1	3	41.0	0.0	10044	1
440	4	1	3	41.0	0.0	10065	27
441	4	1	3	41.0	0.0	10075	13
442	4	1	3	41.0	0.0	10112	4
443	4	1	3	41.0	0.0	10128	14
444	4	1	3	41.0	0.0	10154	3
445	4	1	3	41.0	0.0	10168	1
446	4	1	3	41.0	0.0	10280	2
447	4	1	3	41.0	0.0	10281	2
448	4	1	3	41.0	0.0	10451	3
449	4	1	3	41.0	0.0	10452	2
450	4	1	3	41.0	0.0	10453	1
451	4	1	3	41.0	0.0	10454	1
452	4	1	3	41.0	0.0	10455	2
453	4	1	3	41.0	0.0	10457	1
454	4	1	3	41.0	0.0	10458	3
455	4	1	3	41.0	0.0	10462	1
456	4	1	3	41.0	0.0	10463	1
457	4	1	3	41.0	0.0	10466	1
458	4	1	3	41.0	0.0	10467	1
459	4	1	3	41.0	0.0	10468	4
460	4	1	3	41.0	0.0	10472	3
463	4	1	3	41.0	0.0	11101	38
464	4	1	3	41.0	0.0	11102	7
