"Zipcode","DayofWeek","Hour","Temp","Rain","RFR_pred","XGB_pred","Ensemble_pred","Neighborhood"
"10002",2,16,30,0,204,148,218,"Lower East Side"
"10002",6,0,22,0,1243,1564,1184,"Lower East Side"
"10002",1,12,23,0,204,173,213,"Lower East Side"
"10002",1,22,23,0,517,565,511,"Lower East Side"
"10002",6,9,21,0,195,216,192,"Lower East Side"
"10002",6,19,26,0,405,462,396,"Lower East Side"
"10002",0,8,19,0,224,211,229,"Lower East Side"
"10002",6,11,23,0,288,348,277,"Lower East Side"
"10002",2,4,18,0,142,112,150,"Lower East Side"
"10002",6,2,20,0,1230,1746,1130,"Lower East Side"
"10002",4,1,21,0,539,689,512,"Lower East Side"
"10002",0,6,18,0,151,125,158,"Lower East Side"
"10002",5,13,27,0,291,374,275,"Lower East Side"
"10002",0,16,22,0,196,150,207,"Lower East Side"
"10002",3,15,26,0,213,183,221,"Lower East Side"
"10002",5,15,28,0,304,389,289,"Lower East Side"
"10002",2,3,19,0,190,182,193,"Lower East Side"
"10002",4,3,20,0,320,415,302,"Lower East Side"
"10002",3,10,21,0,230,224,233,"Lower East Side"
"10002",6,12,24,0,301,362,290,"Lower East Side"
"10002",1,11,22,0,206,176,214,"Lower East Side"
"10002",0,20,21,0,385,404,384,"Lower East Side"
"10002",1,20,24,0,435,446,436,"Lower East Side"
"10002",5,17,29,0,323,415,306,"Lower East Side"
"10002",0,10,19,0,213,201,218,"Lower East Side"
"10002",5,1,21,0,1259,1668,1181,"Lower East Side"
"10002",3,22,23,0,633,774,608,"Lower East Side"
"10002",1,23,22,0,488,546,480,"Lower East Side"
"10002",1,4,19,0,120,64,133,"Lower East Side"
"10002",5,0,23,0,1172,1463,1119,"Lower East Side"
"10002",0,9,19,0,223,208,229,"Lower East Side"
"10002",6,16,27,0,312,367,303,"Lower East Side"
"10002",5,7,20,0,166,117,178,"Lower East Side"
"10002",0,2,19,0,170,142,178,"Lower East Side"
"10002",5,6,19,0,172,111,187,"Lower East Side"
"10002",3,2,18,0,238,256,236,"Lower East Side"
"10002",1,14,24,0,207,180,214,"Lower East Side"
"10002",0,19,22,0,320,337,320,"Lower East Side"
"10002",3,20,26,0,493,516,493,"Lower East Side"
"10002",3,11,22,0,213,196,219,"Lower East Side"
"10002",2,23,24,0,586,630,582,"Lower East Side"
"10002",5,22,25,0,689,857,659,"Lower East Side"
"10002",1,19,25,0,348,379,344,"Lower East Side"
"10002",2,6,18,0,158,141,163,"Lower East Side"
"10002",0,1,19,0,262,190,280,"Lower East Side"
"10002",0,15,22,0,196,160,205,"Lower East Side"
"10002",0,0,19,0,323,274,336,"Lower East Side"
"10002",6,3,20,0,1066,1556,970,"Lower East Side"
"10002",3,9,20,0,245,256,245,"Lower East Side"
"10002",2,0,22,0,406,420,406,"Lower East Side"
"10002",5,23,24,0,804,1095,749,"Lower East Side"
"10002",0,4,18,0,123,64,137,"Lower East Side"
"10002",4,20,26,0,562,651,548,"Lower East Side"
"10002",0,13,21,0,197,175,204,"Lower East Side"
"10002",5,5,19,0,205,177,213,"Lower East Side"
"10002",1,15,25,0,205,171,214,"Lower East Side"
"10002",4,0,22,0,634,803,604,"Lower East Side"
"10002",1,0,21,0,344,306,355,"Lower East Side"
"10002",0,21,21,0,429,451,428,"Lower East Side"
"10002",2,9,21,0,240,247,240,"Lower East Side"
"10002",3,0,21,0,462,509,456,"Lower East Side"
"10002",6,21,25,0,471,462,477,"Lower East Side"
"10002",0,5,18,0,121,56,136,"Lower East Side"
"10002",0,11,20,0,198,179,204,"Lower East Side"
"10002",5,9,22,0,229,236,230,"Lower East Side"
"10002",1,16,25,0,202,151,214,"Lower East Side"
"10002",2,14,28,0,209,192,215,"Lower East Side"
"10002",2,7,19,0,229,232,230,"Lower East Side"
"10002",4,17,27,0,253,264,252,"Lower East Side"
"10002",0,22,21,0,463,491,461,"Lower East Side"
"10002",4,16,27,0,221,196,228,"Lower East Side"
"10002",6,10,22,0,221,270,213,"Lower East Side"
"10002",2,15,29,0,208,173,218,"Lower East Side"
"10002",0,12,21,0,195,173,201,"Lower East Side"
"10002",6,18,27,0,374,427,365,"Lower East Side"
"10002",2,18,30,0,287,279,291,"Lower East Side"
"10002",4,6,19,0,159,158,160,"Lower East Side"
"10002",5,2,20,0,1154,1621,1064,"Lower East Side"
"10002",1,5,19,0,117,54,131,"Lower East Side"
"10002",6,14,26,0,322,394,309,"Lower East Side"
"10002",3,16,27,0,208,158,221,"Lower East Side"
"10002",6,8,20,0,175,165,179,"Lower East Side"
"10002",2,13,27,0,208,184,215,"Lower East Side"
"10002",4,4,19,0,212,278,200,"Lower East Side"
"10002",2,22,26,0,565,637,555,"Lower East Side"
"10002",5,4,19,0,416,608,378,"Lower East Side"
"10002",1,18,25,0,279,279,281,"Lower East Side"
"10002",4,15,26,0,223,221,225,"Lower East Side"
"10002",5,3,20,0,969,1373,891,"Lower East Side"
"10002",3,21,25,0,549,616,539,"Lower East Side"
"10002",1,6,19,0,148,128,154,"Lower East Side"
"10002",3,13,25,0,213,193,219,"Lower East Side"
"10002",2,17,30,0,225,208,230,"Lower East Side"
"10002",3,5,17,0,132,102,140,"Lower East Side"
"10002",2,11,24,0,207,188,213,"Lower East Side"
"10002",2,10,22,0,223,219,225,"Lower East Side"
"10002",4,10,22,0,241,250,241,"Lower East Side"
"10002",2,19,29,0,358,376,357,"Lower East Side"
"10002",6,4,19,0,456,723,402,"Lower East Side"
"10002",0,3,18,0,151,87,165,"Lower East Side"
"10002",3,3,18,0,192,197,192,"Lower East Side"
"10002",2,1,21,0,319,317,322,"Lower East Side"
"10002",3,14,26,0,215,200,220,"Lower East Side"
"10002",6,15,26,0,318,385,306,"Lower East Side"
"10002",3,12,23,0,212,196,217,"Lower East Side"
"10002",3,23,22,0,699,855,671,"Lower East Side"
"10002",5,20,28,0,552,646,536,"Lower East Side"
"10002",5,11,24,0,267,320,258,"Lower East Side"
"10002",0,23,20,0,432,451,432,"Lower East Side"
"10002",4,8,20,0,248,265,246,"Lower East Side"
"10002",5,8,20,0,197,163,206,"Lower East Side"
"10002",6,7,20,0,147,123,153,"Lower East Side"
"10002",3,1,19,0,351,379,349,"Lower East Side"
"10002",3,7,18,0,220,226,221,"Lower East Side"
"10002",3,6,17,0,160,162,161,"Lower East Side"
"10002",4,7,20,0,217,220,218,"Lower East Side"
"10002",5,18,29,0,376,466,360,"Lower East Side"
"10002",1,17,25,0,218,205,222,"Lower East Side"
"10002",6,22,24,0,479,452,488,"Lower East Side"
"10002",0,14,21,0,199,177,205,"Lower East Side"
"10002",2,21,27,0,510,564,503,"Lower East Side"
"10002",6,23,23,0,466,406,483,"Lower East Side"
"10002",1,7,19,0,209,210,211,"Lower East Side"
"10002",6,17,27,0,329,396,318,"Lower East Side"
"10002",6,13,25,0,316,386,304,"Lower East Side"
"10002",5,19,28,0,464,581,443,"Lower East Side"
"10002",2,2,20,0,215,221,215,"Lower East Side"
"10002",5,12,25,0,281,335,272,"Lower East Side"
"10002",5,21,27,0,609,703,594,"Lower East Side"
"10002",4,9,21,0,251,270,249,"Lower East Side"
"10002",2,12,26,0,207,189,213,"Lower East Side"
"10002",6,6,19,0,160,131,168,"Lower East Side"
"10002",6,5,19,0,203,219,201,"Lower East Side"
"10002",2,20,28,0,446,459,447,"Lower East Side"
"10002",3,8,18,0,244,262,242,"Lower East Side"
"10002",3,4,17,0,151,148,153,"Lower East Side"
"10002",4,18,27,0,349,389,343,"Lower East Side"
"10002",1,10,21,0,221,211,225,"Lower East Side"
"10002",1,9,21,0,233,236,234,"Lower East Side"
"10002",5,10,23,0,246,271,243,"Lower East Side"
"10002",4,19,26,0,453,532,440,"Lower East Side"
"10002",1,8,20,0,241,244,242,"Lower East Side"
"10003",5,14,28,0,780,1006,738,"Lower East Side"
"10003",5,6,19,0,283,177,308,"Lower East Side"
"10003",4,2,20,0,494,469,503,"Lower East Side"
"10003",3,19,26,0,1339,1449,1327,"Lower East Side"
"10003",4,11,23,0,788,843,783,"Lower East Side"
"10003",1,13,24,0,740,742,746,"Lower East Side"
"10003",3,0,21,0,715,801,703,"Lower East Side"
"10003",4,21,25,0,1521,1849,1464,"Lower East Side"
"10003",2,16,30,0,771,699,793,"Lower East Side"
"10003",0,9,19,0,797,796,803,"Lower East Side"
"10003",0,18,22,0,1101,1348,1058,"Lower East Side"
"10003",3,18,27,0,1220,1303,1212,"Lower East Side"
"10003",0,17,22,0,804,921,785,"Lower East Side"
"10003",0,8,19,0,797,793,805,"Lower East Side"
"10003",6,9,21,0,501,431,520,"Lower East Side"
"10003",0,19,22,0,1163,1377,1128,"Lower East Side"
